Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (VND),Competitive Density,SERP Features
trò chơi nhóm,"Informational, Commercial",480,"0.81,1.00,1.00,1.00,0.81,0.81,0.67,0.67,0.44,0.54,0.54,0.54",46,5285.41,0.59,"Sitelinks, Image pack, Video, Related searches"
các trò chơi online cho nhóm,Informational,390,"1.00,0.53,0.31,0.17,0.11,0.17,0.09,0.09,0.07,0.06,0.05,0.06",36,9778.01,0.17,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Related searches"
trò chơi hội nhóm,"Informational, Commercial",90,"0.40,1.00,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.80,0.60",46,0.00,0.78,"Sitelinks, Image pack, Video carousel, Related searches"
trò chơi nhóm 5 người,"Informational, Commercial",90,"0.50,0.64,0.79,0.79,0.79,0.79,0.50,0.64,0.36,0.50,0.36,1.00",48,0.00,0.35,"Sitelinks, AI Overview, Image pack, Video, Related searches"
trò chơi nhóm cho trẻ tự kỷ,Informational,90,"1.00,0.11,0.11,0.33,0.44,0.11,0.22,0.56,0.11,0.11,0.11,0.11",6,0.00,0.83,"Sitelinks, AI Overview, Video, Related searches"
trò chơi đội nhóm,"Informational, Commercial",90,"0.09,0.09,1.00,0.09,0.64,0.18,0.09,0.27,0.09,0.09,0.18,0.18",42,0.00,0.73,"Sitelinks, Video, Related searches"
trò chơi nhóm 4 người,Informational,70,"0.33,0.67,1.00,0.67,0.33,0.33,0.67,0.33,1.00,1.00,0.33,0.33",51,0.00,0.53,"Sitelinks, AI Overview, Image pack, Video, Related searches"
trò chơi online nhóm,,40,"0.27,0.64,0.09,0.82,1.00,0.27,0.09,0.36,0.36,0.09,0.09,0.36",,0.00,0.03,
những trò chơi nhóm nhỏ,,30,"0.14,0.29,0.71,1.00,0.29,0.29,0.57,0.14,0.71,0.14,0.14,0.29",,0.00,0.07,
trò chơi cho nhóm đông người,,30,"0.14,0.71,1.00,0.57,0.14,0.14,0.29,0.14,0.14,0.43,0.43,0.14",,0.00,0.43,
trò chơi nhóm cho trẻ em,,30,"1.00,0.78,0.33,0.11,0.11,0.56,0.11,0.22,0.11,0.22,0.11,0.11",,0.00,1.00,
trò chơi nhóm nhỏ,,30,"1.00,0.14,0.29,0.43,0.43,0.14,0.14,0.57,0.14,0.71,0.29,0.71",,0.00,0.04,
trò chơi nhóm trên điện thoại,,30,"0.11,1.00,0.22,0.33,0.56,0.33,0.11,0.11,0.11,0.11,0.11,0.33",,0.00,0.05,
trò chơi nhóm vui,,30,"0.11,0.22,0.33,1.00,0.11,0.11,1.00,0.11,0.11,0.33,0.11,0.33",,0.00,0.66,
trò chơi nhóm winx,,30,"0.06,0.06,0.18,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00",,0.00,0.31,
38 trò chơi kỹ năng làm việc nhóm,,20,"0.11,0.00,0.11,1.00,0.44,0.11,0.11,0.00,0.22,0.11,0.11,0.33",,0.00,0.00,
các trò chơi cho nhóm,,20,"0.22,0.11,0.11,0.11,0.11,0.11,0.33,0.11,1.00,0.78,0.11,0.11",,0.00,1.00,
các trò chơi nhóm,,20,"0.14,0.29,0.14,0.14,1.00,0.29,0.71,0.14,0.14,0.14,0.29,0.14",,0.00,0.67,
các trò chơi nhóm nhỏ,,20,"0.29,0.14,0.14,0.14,0.14,1.00,0.43,0.14,0.14,0.29,0.14,0.43",,0.00,0.88,
các trò chơi nhóm vui,,20,"0.14,0.29,0.14,0.14,0.14,0.29,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,0.29,
các trò chơi theo nhóm,,20,"0.20,0.60,0.20,0.40,0.20,0.20,0.20,1.00,0.40,1.00,0.20,0.20",,0.00,0.08,
các trò chơi đội nhóm,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,0.59,
cách chơi trò chơi tạo nhóm,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.57,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,
trò chơi chia nhóm,,20,"0.11,0.22,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.33,0.11,1.00",,0.00,0.01,
trò chơi cho hội nhóm,,20,"0.57,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.29,0.14",,0.00,0.55,
trò chơi cho nhóm 10 người,,20,"0.20,0.20,0.40,0.20,0.60,0.20,0.40,0.20,0.20,0.20,1.00,0.40",,0.00,0.57,
trò chơi cho nhóm 4 người,,20,"1.00,1.00,0.20,0.20,0.20,0.20,0.20,0.60,0.40,0.80,0.40,0.20",,0.00,0.24,
trò chơi cho nhóm nhỏ,,20,"0.14,0.14,0.14,0.71,0.14,0.14,1.00,0.00,0.14,0.14,0.14,0.14",,0.00,1.00,
trò chơi hoạt động nhóm,,20,"0.14,0.14,0.29,0.14,0.43,0.14,1.00,0.29,0.14,0.14,0.57,0.14",,0.00,0.29,
trò chơi kỹ năng làm việc nhóm,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.22,0.22,0.78,0.11",,0.00,0.00,
trò chơi nhóm 3 nhóm 7,,20,"0.06,0.06,1.00,0.06,0.06,0.06,0.12,0.06,0.06,0.06,0.06,0.06",,0.00,0.00,
trò chơi nhóm ba nhóm bảy,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14",,0.00,0.00,
trò chơi nhóm hay,,20,"0.57,0.14,0.14,0.14,0.29,0.29,0.14,0.14,0.14,0.43,1.00,0.14",,0.00,0.12,
trò chơi nhóm nhạc thần tượng,,20,"0.11,0.44,0.11,0.00,0.00,0.22,0.00,0.22,1.00,0.11,0.22,0.11",,0.00,0.00,
trò chơi nhóm nhỏ trong phòng,,20,"0.14,0.14,0.14,0.00,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.29",,0.00,0.57,
trò chơi nhóm trong nhà,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.33",,0.00,0.59,
trò chơi nhóm trí tuệ,,20,"0.20,0.20,0.20,0.20,0.40,0.00,0.40,0.20,0.20,1.00,0.40,0.20",,0.00,0.00,
trò chơi theo nhóm,,20,"0.14,0.14,0.29,1.00,0.14,0.57,0.57,0.14,0.14,0.14,0.14,0.14",,0.00,0.08,
trò chơi tách nhóm,,20,"0.00,0.00,1.00,1.00,0.20,0.20,0.20,0.20,0.40,0.20,0.60,0.20",,0.00,1.00,
trò chơi tìm những con vật cùng nhóm,,20,"0.29,0.43,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.00",,0.00,0.00,
trò chơi tạo nhóm,,20,"1.00,0.29,0.14,0.57,0.14,0.57,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,0.00,
trò chơi đoàn kết nhóm,,20,"0.00,0.00,0.20,0.20,0.20,0.60,0.20,0.60,0.20,0.20,0.60,1.00",,0.00,0.19,
trò chơi đội nhóm trong phòng,,20,"0.14,0.14,0.14,0.57,0.14,0.14,0.43,1.00,0.14,1.00,0.14,0.00",,0.00,0.00,
trò chơi đội nhóm vui nhộn,,20,"0.14,0.14,0.14,0.14,1.00,0.29,0.29,0.14,0.29,0.14,0.14,0.57",,0.00,0.44,
những trò chơi nhóm,,10,"0.33,0.33,1.00,1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33",,0.00,0.06,
những trò chơi nhóm thú vị,,10,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.25,0.25,0.00,0.00",,0.00,0.00,
trò chơi cho nhóm 5 người,,10,"0.20,1.00,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20,0.20,0.20",,0.00,1.00,
trò chơi cho nhóm ít người,,10,"0.25,0.00,1.00,0.00,0.00,0.25,0.00,0.25,0.00,0.00,0.00,0.00",,0.00,0.00,
trò chơi hay cho nhóm,,10,"0.00,0.11,0.00,0.11,0.22,0.00,0.11,1.00,0.00,0.11,0.00,0.00",,0.00,0.00,
trò chơi học tập tìm những con vật cùng nhóm,,10,"0.00,0.00,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.00,0.00,0.00",,0.00,0.00,
trò chơi làm việc nhóm,,10,"0.50,0.50,0.50,0.50,0.50,0.00,1.00,0.50,1.00,0.50,1.00,0.50",,0.00,0.00,
trò chơi nhóm trong lớp,,10,"0.50,1.00,0.50,0.50,0.50,1.00,0.50,0.50,0.50,0.50,0.50,0.50",,0.00,0.00,
trò chơi thử thách nhóm,,10,"0.33,0.33,0.67,0.33,0.33,1.00,0.33,0.33,0.33,0.00,0.33,0.67",,0.00,0.07,
trò chơi trang điểm nhóm winx,,10,"0.20,0.20,1.00,0.00,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.00",,0.00,0.00,
trò chơi trí tuệ cho nhóm,,10,"0.25,0.25,0.50,0.25,1.00,0.25,0.50,0.25,0.25,0.25,0.25,0.00",,0.00,0.00,
6 trò chơi rèn luyện tinh thần làm việc nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
app trò chơi nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
cac trò chơi team building cho nhóm ít người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
cacs trò chơi dành cho trẻ em theo nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các bài hát về trò chơi nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các bài hát về trò chơi sinh hoạt nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi boardgame cho nhóm 4 người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi bonding cho nhóm 5 người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi bonding cho nhóm nhỏ,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi chia nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi cho nhóm nhỏ,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi cho đội nhóm từ 3-5 người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi của các nhóm nhạc kpop han quốc,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi dân gian nhiều nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi dân gian theo nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi giúp nhóm làm quen,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi hội nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi liên quan đến ứng xử của nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi nhóm 6 người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi nhóm kĩ năng ứng xử,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi nhóm liên quan đến nước,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi nhóm tiếng anh,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi nhóm trong phòng,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi thi đua nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi thú vị cho nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi tạo động lực cho nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi tập thể cho nhóm bạn,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi tập thể theo nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi vận động đội nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi với 5 người 1 nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi với 5 người 1 nhóm trong nhà,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
các trò chơi đội nhóm 10 người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
cách chơi trò chơi máy bay lớp nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
cách đưa trò chơi lên nhóm fb,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
dạy xếp xen kẽ 3 đối tưong trò chơi nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
giáo án trò chơi bắt chước lớp nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
giáo án trò chơi kết nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
hy sinh trong trò chơi nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
idea trò chơi tập thể nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
kỹ năng làm việc nhóm trò chơi,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
kỹ năngg nhóm trò chơi,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
lý thuyết trò chơi độc quyền nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
mô tả trò chơi nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
mẫu trò chơi môn toán game xếp hình theo nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhóm phương pháp dạy học bằng trò chơi,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhóm phương pháp trò chơi trong dạy hoc,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhóm phương pháp trò chơi trong dạy học gdcd,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhưng trò chơi chia nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhạc trò chơi nhóm 7 nhóm 3,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
nhừng trò chơi đội nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
những trò chơi cho nhóm đông người,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
những trò chơi gây dựng ý thức nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
những trò chơi hay cho nhóm,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,0.00,
